# This is an exemplary isentrope for an opx mantle composition, exported
# from HeFESTo, for a surface adiabatic temperature of 1600 K. Temperature
# column contains entropy for this table.
#
# POINTS: 1401
# depth (m), pressure (Pa), entropy (J/kg/K), density (kg/m^3)
depth             pressure          temperature       density
1.12371e+06 4.43e+10 2534.05 4303.27
1.12588e+06 4.44e+10 2534.05 4304.65
1.12804e+06 44500000000 2534.05 4306.03
1.1302e+06 44600000000 2534.05 4307.4
1.13236e+06 44700000000 2534.05 4308.78
1.13452e+06 4.48e+10 2534.05 4310.15
1.13668e+06 4.49e+10 2534.05 4311.53
1.13884e+06 45000000000 2534.05 4312.9
1.141e+06 45100000000 2534.05 4314.27
1.14316e+06 45200000000 2534.05 4315.64
1.14532e+06 4.53e+10 2534.05 4317.01
1.14748e+06 4.54e+10 2534.05 4318.37
1.14965e+06 45500000000 2534.05 4319.74
1.15181e+06 45600000000 2534.05 4321.11
1.15397e+06 45700000000 2534.05 4322.47
1.15613e+06 4.58e+10 2534.05 4323.83
1.15829e+06 4.59e+10 2534.05 4325.2
1.16045e+06 46000000000 2534.05 4326.56
1.16261e+06 46100000000 2534.05 4327.92
1.16477e+06 46200000000 2534.05 4329.28
1.16693e+06 4.63e+10 2534.05 4330.64
1.16909e+06 4.64e+10 2534.05 4331.99
1.17125e+06 46500000000 2534.05 4333.35
1.17339e+06 46600000000 2534.05 4334.7
1.17553e+06 46700000000 2534.05 4336.06
1.17766e+06 4.68e+10 2534.05 4337.41
1.1798e+06 4.69e+10 2534.05 4338.76
1.18194e+06 47000000000 2534.05 4340.12
1.18407e+06 47100000000 2534.05 4341.47
1.18621e+06 47200000000 2534.05 4342.81
1.18835e+06 4.73e+10 2534.05 4344.16
1.19049e+06 4.74e+10 2534.05 4345.51
1.19262e+06 47500000000 2534.05 4346.86
1.19476e+06 47600000000 2534.05 4348.2
1.1969e+06 47700000000 2534.05 4349.55
1.19903e+06 4.78e+10 2534.05 4350.89
1.20117e+06 4.79e+10 2534.05 4352.23
1.20331e+06 48000000000 2534.05 4353.57
1.20544e+06 48100000000 2534.05 4354.91
1.20758e+06 48200000000 2534.05 4356.25
1.20972e+06 4.83e+10 2534.05 4357.59
1.21186e+06 4.84e+10 2534.05 4358.93
1.21399e+06 48500000000 2534.05 4360.26
1.21613e+06 48600000000 2534.05 4361.6
1.21827e+06 48700000000 2534.05 4362.93
1.2204e+06 4.88e+10 2534.05 4364.27
1.22254e+06 4.89e+10 2534.05 4365.6
1.22468e+06 49000000000 2534.05 4366.93
1.22681e+06 49100000000 2534.05 4368.26
1.22895e+06 49200000000 2534.05 4369.59
1.23109e+06 4.93e+10 2534.05 4370.92
1.23323e+06 4.94e+10 2534.05 4372.25
1.23536e+06 49500000000 2534.05 4373.57
1.2375e+06 49600000000 2534.05 4374.9
1.23964e+06 49700000000 2534.05 4376.22
1.24177e+06 4.98e+10 2534.05 4377.55
1.24391e+06 4.99e+10 2534.05 4378.87
1.24605e+06 50000000000 2534.05 4380.19
1.24819e+06 50100000000 2534.05 4381.51
1.25032e+06 50200000000 2534.05 4382.83
1.25246e+06 5.03e+10 2534.05 4384.15
1.2546e+06 5.04e+10 2534.05 4385.47
1.25673e+06 50500000000 2534.05 4386.79
1.25887e+06 50600000000 2534.05 4388.1
1.26101e+06 50700000000 2534.05 4389.42
1.26314e+06 5.08e+10 2534.05 4390.73
1.26528e+06 5.09e+10 2534.05 4392.04
1.26742e+06 51000000000 2534.05 4393.36
1.26956e+06 51100000000 2534.05 4394.67
1.27168e+06 51200000000 2534.05 4395.98
1.2738e+06 5.13e+10 2534.05 4397.29
1.27591e+06 5.14e+10 2534.05 4398.6
1.27803e+06 51500000000 2534.05 4399.91
1.28014e+06 51600000000 2534.05 4401.21
1.28225e+06 51700000000 2534.05 4402.52
1.28437e+06 5.18e+10 2534.05 4403.82
1.28648e+06 5.19e+10 2534.05 4405.13
1.28859e+06 52000000000 2534.05 4406.43
1.29071e+06 52100000000 2534.05 4407.73
1.29282e+06 52200000000 2534.05 4409.03
1.29493e+06 5.23e+10 2534.05 4410.33
1.29705e+06 5.24e+10 2534.05 4411.63
1.29916e+06 52500000000 2534.05 4412.93
1.30127e+06 52600000000 2534.05 4414.23
1.30339e+06 52700000000 2534.05 4415.53
1.3055e+06 5.28e+10 2534.05 4416.82
1.30761e+06 5.29e+10 2534.05 4418.12
1.30973e+06 53000000000 2534.05 4419.41
1.31184e+06 53100000000 2534.05 4420.71
1.31395e+06 53200000000 2534.05 4422
1.31607e+06 5.33e+10 2534.05 4423.29
1.31818e+06 5.34e+10 2534.05 4424.58
1.3203e+06 53500000000 2534.05 4425.87
1.32241e+06 53600000000 2534.05 4427.16
1.32452e+06 53700000000 2534.05 4428.45
1.32664e+06 5.38e+10 2534.05 4429.73
1.32875e+06 5.39e+10 2534.05 4431.02
1.33086e+06 54000000000 2534.05 4432.31
1.33298e+06 54100000000 2534.05 4433.59
1.33509e+06 54200000000 2534.05 4434.87
